"Case.Earliest.Date","Confirmation.Status","Gender","Age.Group","Hospitalization","ICU","Death","Race","Count"
"2020/02/01","Laboratory-confirmed case","Female","0 - 9","Missing","Missing","Missing","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","0 - 9","No","Missing","No","Latino",1
"2020/02/01","Laboratory-confirmed case","Female","10 - 19","Missing","Missing","Missing","Missing",1
"2020/02/01","Laboratory-confirmed case","Female","10 - 19","No","Missing","Missing","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","10 - 19","No","Missing","No","Multiracial/Other",1
"2020/02/01","Laboratory-confirmed case","Female","10 - 19","No","Missing","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","20 - 29","Missing","Missing","Missing","African American",1
"2020/02/01","Laboratory-confirmed case","Female","20 - 29","No","Missing","No","African American",1
"2020/02/01","Laboratory-confirmed case","Female","20 - 29","No","Missing","No","Latino",1
"2020/02/01","Laboratory-confirmed case","Female","20 - 29","No","Missing","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","20 - 29","No","Missing","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","20 - 29","No","Unknown","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","30 - 39","No","Missing","No","Asian",1
"2020/02/01","Laboratory-confirmed case","Female","30 - 39","No","Missing","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","30 - 39","Unknown","Missing","Missing","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","30 - 39","Unknown","Missing","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","30 - 39","Yes","Unknown","Unknown","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","40 - 49","Missing","Missing","Missing","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","40 - 49","No","Missing","No","Latino",1
"2020/02/01","Laboratory-confirmed case","Female","40 - 49","No","Missing","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","40 - 49","No","Missing","Yes","African American",1
"2020/02/01","Laboratory-confirmed case","Female","40 - 49","Yes","Missing","No","Latino",1
"2020/02/01","Laboratory-confirmed case","Female","50 - 59","Missing","Missing","Missing","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","50 - 59","No","Missing","No","Unknown",2
"2020/02/01","Laboratory-confirmed case","Female","50 - 59","No","Missing","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","50 - 59","No","No","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","50 - 59","No","Unknown","Unknown","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","50 - 59","Unknown","Missing","Unknown","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","African American",1
"2020/02/01","Laboratory-confirmed case","Female","50 - 59","Yes","Unknown","Unknown","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","Missing","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Missing","Missing","No","Multiracial/Other",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","No","Missing","Missing","Caucasian",2
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","No","Missing","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","No","Missing","No","Caucasian",2
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","No","No","No","African American",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","No","No","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Unknown","Missing","Missing","African American",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Yes","Missing","Missing","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Latino",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Unknown","Unknown",2
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Yes","Latino",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Yes","Unknown","Yes","Unknown",1
"2020/02/01","Laboratory-confirmed case","Female","60 - 69","Yes","Yes","Unknown","African American",1
"2020/02/01","Laboratory-confirmed case","Female","70 - 79","Missing","Missing","Missing","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","70 - 79","No","Missing","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","70 - 79","Yes","No","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","70 - 79","Yes","Unknown","Unknown","Asian",1
"2020/02/01","Laboratory-confirmed case","Female","70 - 79","Yes","Unknown","Yes","Multiracial/Other",1
"2020/02/01","Laboratory-confirmed case","Female","80+","Yes","Unknown","Unknown","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Female","80+","Yes","Unknown","Yes","African American",1
"2020/02/01","Laboratory-confirmed case","Female","80+","Yes","Unknown","Yes","Latino",1
"2020/02/01","Laboratory-confirmed case","Male","0 - 9","No","Missing","No","African American",1
"2020/02/01","Laboratory-confirmed case","Male","0 - 9","No","Missing","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Male","10 - 19","Missing","Missing","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","10 - 19","No","No","No","Latino",1
"2020/02/01","Laboratory-confirmed case","Male","20 - 29","No","Missing","Missing","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","20 - 29","No","Missing","No","Missing",1
"2020/02/01","Laboratory-confirmed case","Male","20 - 29","No","Missing","No","Caucasian",2
"2020/02/01","Laboratory-confirmed case","Male","20 - 29","No","Unknown","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Male","30 - 39","No","Missing","No","Asian",1
"2020/02/01","Laboratory-confirmed case","Male","30 - 39","No","Missing","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Male","30 - 39","No","Unknown","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","40 - 49","Missing","Missing","Missing","Latino",1
"2020/02/01","Laboratory-confirmed case","Male","40 - 49","No","Missing","No","Latino",1
"2020/02/01","Laboratory-confirmed case","Male","40 - 49","No","Missing","No","Multiracial/Other",1
"2020/02/01","Laboratory-confirmed case","Male","40 - 49","No","Missing","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","40 - 49","No","Missing","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Male","40 - 49","Unknown","Missing","No","African American",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","Asian",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","Missing","Missing","Missing","Latino",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","No","Missing","Missing","African American",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","Latino",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","No","Missing","No","Caucasian",2
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","Yes","Missing","Missing","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","Yes","No","No","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","African American",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Latino",1
"2020/02/01","Laboratory-confirmed case","Male","50 - 59","Yes","Unknown","Unknown","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","No","Missing","Missing","Caucasian",1
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","No","Missing","No","African American",1
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","No","Missing","No","Missing",1
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","No","Missing","No","Unknown",1
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","No","Missing","No","Caucasian",2
"2020/02/01","Laboratory-confirmed case","Male","60 - 69","Unknown","No","No","African American",1
