"Date","State","Ethnicity","Cases","Deaths","Hospitalizations","Tests"
"2020-12-30","AK","Hispanic",2647,6,49,NA
"2020-12-30","AK","NonHispanic",23815,169,736,NA
"2020-12-30","AK","Unknown",20021,28,232,NA
"2020-12-30","AL","Hispanic",10367,94,NA,NA
"2020-12-30","AL","NonHispanic",121589,3339,NA,NA
"2020-12-30","AL","Unknown",224864,1341,NA,NA
"2020-12-30","AR","Hispanic",26247,135,NA,NA
"2020-12-30","AR","NonHispanic",196183,3502,NA,NA
"2020-12-30","AR","Unknown",0,1,NA,NA
"2020-12-30","AS","Hispanic",NA,NA,NA,NA
"2020-12-30","AS","NonHispanic",NA,NA,NA,NA
"2020-12-30","AS","Unknown",NA,NA,NA,NA
"2020-12-30","AZ","Hispanic",147562,2503,12406,NA
"2020-12-30","AZ","NonHispanic",230609,5325,22432,NA
"2020-12-30","AZ","Unknown",134318,890,1946,NA
"2020-12-30","CA","Hispanic",887580,11575,NA,NA
"2020-12-30","CA","NonHispanic",710170,12866,NA,NA
"2020-12-30","CA","Unknown",620392,517,NA,NA
"2020-12-30","CO","Hispanic",95850,982,NA,NA
"2020-12-30","CO","NonHispanic",150045,3427,NA,NA
"2020-12-30","CO","Unknown",84964,341,NA,NA
"2020-12-30","CT","Hispanic",30915,577,NA,NA
"2020-12-30","CT","NonHispanic",87379,5329,NA,NA
"2020-12-30","CT","Unknown",67414,89,NA,NA
"2020-12-30","DC","Hispanic",6390,103,NA,NA
"2020-12-30","DC","NonHispanic",20112,665,NA,NA
"2020-12-30","DC","Unknown",2256,12,NA,NA
"2020-12-30","DE","Hispanic",10038,62,NA,41376
"2020-12-30","DE","NonHispanic",43536,858,NA,401417
"2020-12-30","DE","Unknown",3022,1,NA,64685
"2020-12-30","FL","Hispanic",403284,5212,16660,NA
"2020-12-30","FL","NonHispanic",592519,14835,42676,NA
"2020-12-30","FL","Unknown",310320,1810,4039,NA
"2020-12-30","GA","Hispanic",63822,582,NA,NA
"2020-12-30","GA","NonHispanic",335038,9151,NA,NA
"2020-12-30","GA","Unknown",159317,1113,NA,NA
"2020-12-30","GU","Hispanic",NA,NA,NA,NA
"2020-12-30","GU","NonHispanic",NA,NA,NA,NA
"2020-12-30","GU","Unknown",NA,121,NA,NA
"2020-12-30","HI","Hispanic",NA,NA,NA,NA
"2020-12-30","HI","NonHispanic",NA,NA,NA,NA
"2020-12-30","HI","Unknown",NA,10,659,NA
"2020-12-30","IA","Hispanic",14271,115,NA,NA
"2020-12-30","IA","NonHispanic",137958,3707,NA,NA
"2020-12-30","IA","Unknown",83250,0,NA,NA
"2020-12-30","ID","Hispanic",14534,142,NA,NA
"2020-12-30","ID","NonHispanic",55441,1250,NA,NA
"2020-12-30","ID","Unknown",69889,11,NA,NA
"2020-12-30","IL","Hispanic",176980,2655,NA,924335
"2020-12-30","IL","NonHispanic",478748,13159,NA,6071243
"2020-12-30","IL","Unknown",299652,1997,NA,6182439
"2020-12-30","IN","Hispanic",31233,186,NA,100634
"2020-12-30","IN","NonHispanic",251208,4085,NA,1239175
"2020-12-30","IN","Unknown",222576,3889,NA,1283070
"2020-12-30","KS","Hispanic",31664,205,1086,73162
"2020-12-30","KS","NonHispanic",131898,2177,5041,534384
"2020-12-30","KS","Unknown",58871,359,633,393686
"2020-12-30","KY","Hispanic",9898,51,NA,NA
"2020-12-30","KY","NonHispanic",181303,2258,NA,NA
"2020-12-30","KY","Unknown",74061,314,NA,NA
"2020-12-30","LA","Hispanic",NA,186,NA,NA
"2020-12-30","LA","NonHispanic",NA,6949,NA,NA
"2020-12-30","LA","Unknown",311229,313,NA,NA
"2020-12-30","MA","Hispanic",76481,861,2406,NA
"2020-12-30","MA","NonHispanic",169852,10960,11549,NA
"2020-12-30","MA","Unknown",121585,517,1950,NA
"2020-12-30","MD","Hispanic",47657,570,NA,NA
"2020-12-30","MD","NonHispanic",186314,5212,NA,NA
"2020-12-30","MD","Unknown",39718,66,NA,NA
"2020-12-30","ME","Hispanic",446,3,17,NA
"2020-12-30","ME","NonHispanic",17178,239,923,NA
"2020-12-30","ME","Unknown",5875,92,99,NA
"2020-12-30","MI","Hispanic",27287,351,NA,NA
"2020-12-30","MI","NonHispanic",333841,10327,NA,NA
"2020-12-30","MI","Unknown",167493,2340,NA,NA
"2020-12-30","MN","Hispanic",37282,164,1867,NA
"2020-12-30","MN","NonHispanic",337453,4968,18019,NA
"2020-12-30","MN","Unknown",38372,130,1862,NA
"2020-12-30","MO","Hispanic",13998,111,NA,NA
"2020-12-30","MO","NonHispanic",193922,4082,NA,NA
"2020-12-30","MO","Unknown",180936,1298,NA,NA
"2020-12-30","MP","Hispanic",NA,NA,NA,NA
"2020-12-30","MP","NonHispanic",NA,NA,NA,NA
"2020-12-30","MP","Unknown",NA,NA,NA,NA
"2020-12-30","MS","Hispanic",4770,50,NA,NA
"2020-12-30","MS","NonHispanic",138901,3882,NA,NA
"2020-12-30","MS","Unknown",69384,815,NA,NA
"2020-12-30","MT","Hispanic",1809,NA,NA,NA
"2020-12-30","MT","NonHispanic",47649,NA,NA,NA
"2020-12-30","MT","Unknown",14434,NA,NA,NA
"2020-12-30","NC","Hispanic",84942,472,NA,NA
"2020-12-30","NC","NonHispanic",260797,5350,NA,NA
"2020-12-30","NC","Unknown",187091,907,NA,NA
"2020-12-30","ND","Hispanic",NA,NA,NA,NA
"2020-12-30","ND","NonHispanic",NA,NA,NA,NA
"2020-12-30","ND","Unknown",92202,1289,NA,NA
"2020-12-30","NE","Hispanic",20870,142,972,NA
"2020-12-30","NE","NonHispanic",69369,862,2979,NA
"2020-12-30","NE","Unknown",75058,607,1269,NA
"2020-12-30","NH","Hispanic",2687,19,86,NA
"2020-12-30","NH","NonHispanic",23460,610,754,NA
"2020-12-30","NH","Unknown",17095,112,61,NA
"2020-12-30","NJ","Hispanic",95532,3690,12132,NA
"2020-12-30","NJ","NonHispanic",249546,14947,31396,NA
"2020-12-30","NJ","Unknown",127186,315,3562,NA
"2020-12-30","NM","Hispanic",58253,851,3187,NA
"2020-12-30","NM","NonHispanic",47408,1475,4861,NA
"2020-12-30","NM","Unknown",35525,110,1566,NA
"2020-12-30","NV","Hispanic",61520,679,NA,105565
"2020-12-30","NV","NonHispanic",104504,2076,NA,537307
"2020-12-30","NV","Unknown",56570,311,NA,514782
"2020-12-30","NY","Hispanic",NA,8526,21084,NA
"2020-12-30","NY","NonHispanic",NA,25026,38259,NA
"2020-12-30","NY","Unknown",957412,4540,30652,NA
"2020-12-30","OH","Hispanic",22160,167,1398,NA
"2020-12-30","OH","NonHispanic",415995,7743,31048,NA
"2020-12-30","OH","Unknown",252593,945,5556,NA
"2020-12-30","OK","Hispanic",31264,127,NA,NA
"2020-12-30","OK","NonHispanic",168771,1912,NA,NA
"2020-12-30","OK","Unknown",86995,414,NA,NA
"2020-12-30","OR","Hispanic",31897,151,1392,NA
"2020-12-30","OR","NonHispanic",53977,937,3944,NA
"2020-12-30","OR","Unknown",26386,380,1119,NA
"2020-12-30","PA","Hispanic",40254,672,NA,NA
"2020-12-30","PA","NonHispanic",152177,14046,NA,NA
"2020-12-30","PA","Unknown",438902,954,NA,NA
"2020-12-30","PR","Hispanic",NA,NA,NA,NA
"2020-12-30","PR","NonHispanic",NA,NA,NA,NA
"2020-12-30","PR","Unknown",NA,NA,NA,NA
"2020-12-30","RI","Hispanic",23188,158,1473,42914
"2020-12-30","RI","NonHispanic",43494,1347,3320,200887
"2020-12-30","RI","Unknown",21267,272,1713,389812
"2020-12-30","SC","Hispanic",19162,144,734,NA
"2020-12-30","SC","NonHispanic",176211,3844,11255,NA
"2020-12-30","SC","Unknown",108102,1261,2247,NA
"2020-12-30","SD","Hispanic",3305,15,136,NA
"2020-12-30","SD","NonHispanic",84759,1345,5143,NA
"2020-12-30","SD","Unknown",10656,104,360,NA
"2020-12-30","TN","Hispanic",39547,217,NA,NA
"2020-12-30","TN","NonHispanic",347477,5987,NA,NA
"2020-12-30","TN","Unknown",193785,606,NA,NA
"2020-12-30","TX","Hispanic",26322,13480,NA,NA
"2020-12-30","TX","NonHispanic",33028,12909,NA,NA
"2020-12-30","TX","Unknown",1678097,699,NA,NA
"2020-12-30","UT","Hispanic",62203,213,2640,216603
"2020-12-30","UT","NonHispanic",182177,973,7969,1233174
"2020-12-30","UT","Unknown",27560,70,264,246588
"2020-12-30","VA","Hispanic",57094,398,3886,NA
"2020-12-30","VA","NonHispanic",215484,4420,13471,NA
"2020-12-30","VA","Unknown",71767,166,553,NA
"2020-12-30","VI","Hispanic",NA,NA,NA,NA
"2020-12-30","VI","NonHispanic",NA,NA,NA,NA
"2020-12-30","VI","Unknown",2010,23,NA,NA
"2020-12-30","VT","Hispanic",149,0,NA,NA
"2020-12-30","VT","NonHispanic",6000,120,NA,NA
"2020-12-30","VT","Unknown",1127,14,NA,NA
"2020-12-30","WA","Hispanic",48516,434,2249,NA
"2020-12-30","WA","NonHispanic",91382,2978,6611,NA
"2020-12-30","WA","Unknown",102432,8,5711,NA
"2020-12-30","WI","Hispanic",300,313,2089,NA
"2020-12-30","WI","NonHispanic",345277,4482,18182,NA
"2020-12-30","WI","Unknown",85383,362,936,NA
"2020-12-30","WV","Hispanic",NA,NA,NA,NA
"2020-12-30","WV","NonHispanic",NA,NA,NA,NA
"2020-12-30","WV","Unknown",NA,NA,NA,NA
"2020-12-30","WY","Hispanic",3423,26,NA,NA
"2020-12-30","WY","NonHispanic",26063,351,NA,NA
"2020-12-30","WY","Unknown",17445,28,NA,NA
"2020-12-27","AK","Hispanic",2626,6,47,NA
"2020-12-27","AK","NonHispanic",23669,165,719,NA
"2020-12-27","AK","Unknown",19486,29,226,NA
"2020-12-27","AL","Hispanic",10257,94,NA,NA
"2020-12-27","AL","NonHispanic",118830,3296,NA,NA
"2020-12-27","AL","Unknown",216541,1301,NA,NA
"2020-12-27","AR","Hispanic",26000,132,NA,NA
