"Date","State","Race","Cases","Deaths","Hospitalizations","Tests"
"2020-12-30","AK","Caucasian",14623,74,320,NA
"2020-12-30","AK","African_American",1245,8,37,NA
"2020-12-30","AK","Latino",NA,NA,NA,NA
"2020-12-30","AK","Asian",1864,20,96,NA
"2020-12-30","AK","AIAN",9093,73,260,NA
"2020-12-30","AK","NHPI",1307,12,111,NA
"2020-12-30","AK","Multiracial",3629,5,64,NA
"2020-12-30","AK","Other",5971,3,45,NA
"2020-12-30","AK","Unknown",8751,8,84,NA
"2020-12-30","AL","Caucasian",111969,2404,NA,NA
"2020-12-30","AL","African_American",59617,1352,NA,NA
"2020-12-30","AL","Latino",NA,NA,NA,NA
"2020-12-30","AL","Asian",1378,15,NA,NA
"2020-12-30","AL","AIAN",NA,NA,NA,NA
"2020-12-30","AL","NHPI",NA,NA,NA,NA
"2020-12-30","AL","Multiracial",NA,NA,NA,NA
"2020-12-30","AL","Other",30929,128,NA,NA
"2020-12-30","AL","Unknown",152927,875,NA,NA
"2020-12-30","AR","Caucasian",140576,2550,NA,NA
"2020-12-30","AR","African_American",37146,540,NA,NA
"2020-12-30","AR","Latino",NA,NA,NA,NA
"2020-12-30","AR","Asian",2002,22,NA,NA
"2020-12-30","AR","AIAN",638,7,NA,NA
"2020-12-30","AR","NHPI",3114,51,NA,NA
"2020-12-30","AR","Multiracial",1335,13,NA,NA
"2020-12-30","AR","Other",11122,129,NA,NA
"2020-12-30","AR","Unknown",26497,325,NA,NA
"2020-12-30","AS","Caucasian",NA,NA,NA,NA
"2020-12-30","AS","African_American",NA,NA,NA,NA
"2020-12-30","AS","Latino",NA,NA,NA,NA
"2020-12-30","AS","Asian",NA,NA,NA,NA
"2020-12-30","AS","AIAN",NA,NA,NA,NA
"2020-12-30","AS","NHPI",NA,NA,NA,NA
"2020-12-30","AS","Multiracial",NA,NA,NA,NA
"2020-12-30","AS","Other",NA,NA,NA,NA
"2020-12-30","AS","Unknown",NA,NA,NA,NA
"2020-12-30","AZ","Caucasian",162683,3960,15808,NA
"2020-12-30","AZ","African_American",14804,243,1609,NA
"2020-12-30","AZ","Latino",147562,2503,12406,NA
"2020-12-30","AZ","Asian",6281,87,574,NA
"2020-12-30","AZ","AIAN",24398,839,3123,NA
"2020-12-30","AZ","NHPI",NA,NA,NA,NA
"2020-12-30","AZ","Multiracial",NA,NA,NA,NA
"2020-12-30","AZ","Other",22443,196,1318,NA
"2020-12-30","AZ","Unknown",134318,890,1946,NA
"2020-12-30","CA","Caucasian",319136,7679,NA,NA
"2020-12-30","CA","African_American",64518,1697,NA,NA
"2020-12-30","CA","Latino",887580,11575,NA,NA
"2020-12-30","CA","Asian",100569,2818,NA,NA
"2020-12-30","CA","AIAN",5090,81,NA,NA
"2020-12-30","CA","NHPI",8913,129,NA,NA
"2020-12-30","CA","Multiracial",20372,252,NA,NA
"2020-12-30","CA","Other",191572,210,NA,NA
"2020-12-30","CA","Unknown",620392,517,NA,NA
"2020-12-30","CO","Caucasian",126554,2974,NA,NA
"2020-12-30","CO","African_American",9330,171,NA,NA
"2020-12-30","CO","Latino",95850,982,NA,NA
"2020-12-30","CO","Asian",4434,103,NA,NA
"2020-12-30","CO","AIAN",1853,26,NA,NA
"2020-12-30","CO","NHPI",959,9,NA,NA
"2020-12-30","CO","Multiracial",4566,113,NA,NA
"2020-12-30","CO","Other",2349,31,NA,NA
"2020-12-30","CO","Unknown",84964,341,NA,NA
"2020-12-30","CT","Caucasian",56310,4356,NA,NA
"2020-12-30","CT","African_American",13988,786,NA,NA
"2020-12-30","CT","Latino",30915,577,NA,NA
"2020-12-30","CT","Asian",1976,69,NA,NA
"2020-12-30","CT","AIAN",296,3,NA,NA
"2020-12-30","CT","NHPI",NA,NA,NA,NA
"2020-12-30","CT","Multiracial",6635,84,NA,NA
"2020-12-30","CT","Other",8174,31,NA,NA
"2020-12-30","CT","Unknown",67414,89,NA,NA
"2020-12-30","DC","Caucasian",7104,81,NA,NA
"2020-12-30","DC","African_American",13728,573,NA,NA
"2020-12-30","DC","Latino",NA,103,NA,NA
"2020-12-30","DC","Asian",549,11,NA,NA
"2020-12-30","DC","AIAN",59,NA,NA,NA
"2020-12-30","DC","NHPI",67,NA,NA,NA
"2020-12-30","DC","Multiracial",NA,NA,NA,NA
"2020-12-30","DC","Other",7055,0,NA,NA
"2020-12-30","DC","Unknown",196,12,NA,NA
"2020-12-30","DE","Caucasian",25753,618,NA,249213
"2020-12-30","DE","African_American",13326,221,NA,92489
"2020-12-30","DE","Latino",10038,62,NA,41376
"2020-12-30","DE","Asian",1078,6,NA,12080
"2020-12-30","DE","AIAN",NA,NA,NA,NA
"2020-12-30","DE","NHPI",NA,NA,NA,NA
"2020-12-30","DE","Multiracial",NA,NA,NA,NA
"2020-12-30","DE","Other",3379,13,NA,47635
"2020-12-30","DE","Unknown",3022,1,NA,64685
"2020-12-30","FL","Caucasian",416635,11256,28064,NA
"2020-12-30","FL","African_American",161719,3590,12967,NA
"2020-12-30","FL","Latino",403284,5212,16660,NA
"2020-12-30","FL","Asian",NA,NA,NA,NA
"2020-12-30","FL","AIAN",NA,NA,NA,NA
"2020-12-30","FL","NHPI",NA,NA,NA,NA
"2020-12-30","FL","Multiracial",NA,NA,NA,NA
"2020-12-30","FL","Other",88028,927,3314,NA
"2020-12-30","FL","Unknown",236457,872,2370,NA
"2020-12-30","GA","Caucasian",212945,5264,NA,NA
"2020-12-30","GA","African_American",148136,3688,NA,NA
"2020-12-30","GA","Latino",63822,582,NA,NA
"2020-12-30","GA","Asian",10997,174,NA,NA
"2020-12-30","GA","AIAN",351,10,NA,NA
"2020-12-30","GA","NHPI",526,6,NA,NA
"2020-12-30","GA","Multiracial",NA,NA,NA,NA
"2020-12-30","GA","Other",16177,36,NA,NA
"2020-12-30","GA","Unknown",105223,1086,NA,NA
"2020-12-30","GU","Caucasian",348,NA,NA,NA
"2020-12-30","GU","African_American",NA,NA,NA,NA
"2020-12-30","GU","Latino",NA,NA,NA,NA
"2020-12-30","GU","Asian",2219,NA,NA,NA
"2020-12-30","GU","AIAN",NA,NA,NA,NA
"2020-12-30","GU","NHPI",3726,NA,NA,NA
"2020-12-30","GU","Multiracial",NA,NA,NA,NA
"2020-12-30","GU","Other",391,NA,NA,NA
"2020-12-30","GU","Unknown",624,121,NA,NA
"2020-12-30","HI","Caucasian",2316,25,106,NA
"2020-12-30","HI","African_American",347,5,11,NA
"2020-12-30","HI","Latino",NA,NA,NA,NA
"2020-12-30","HI","Asian",4632,156,432,NA
"2020-12-30","HI","AIAN",NA,NA,NA,NA
"2020-12-30","HI","NHPI",6214,84,535,NA
"2020-12-30","HI","Multiracial",NA,NA,NA,NA
"2020-12-30","HI","Other",647,5,25,NA
"2020-12-30","HI","Unknown",7053,10,659,NA
"2020-12-30","IA","Caucasian",145093,3523,NA,NA
"2020-12-30","IA","African_American",7136,93,NA,NA
"2020-12-30","IA","Latino",NA,NA,NA,NA
"2020-12-30","IA","Asian",4757,52,NA,NA
"2020-12-30","IA","AIAN",888,11,NA,NA
"2020-12-30","IA","NHPI",824,15,NA,NA
"2020-12-30","IA","Multiracial",NA,NA,NA,NA
"2020-12-30","IA","Other",2379,41,NA,NA
"2020-12-30","IA","Unknown",78493,87,NA,NA
"2020-12-30","ID","Caucasian",76069,1319,NA,NA
"2020-12-30","ID","African_American",817,8,NA,NA
"2020-12-30","ID","Latino",NA,NA,NA,NA
"2020-12-30","ID","Asian",944,12,NA,NA
"2020-12-30","ID","AIAN",1752,27,NA,NA
"2020-12-30","ID","NHPI",300,NA,NA,NA
"2020-12-30","ID","Multiracial",NA,NA,NA,NA
"2020-12-30","ID","Other",10893,23,NA,NA
"2020-12-30","ID","Unknown",49089,14,NA,NA
"2020-12-30","IL","Caucasian",337553,9375,NA,4218234
"2020-12-30","IL","African_American",86757,3062,NA,964459
"2020-12-30","IL","Latino",176980,2655,NA,924335
"2020-12-30","IL","Asian",19632,585,NA,472022
"2020-12-30","IL","AIAN",1139,20,NA,10369
"2020-12-30","IL","NHPI",890,16,NA,12839
"2020-12-30","IL","Multiracial",NA,NA,NA,NA
"2020-12-30","IL","Other",32777,101,NA,393320
"2020-12-30","IL","Unknown",299652,1997,NA,6182439
"2020-12-30","IN","Caucasian",329152,5580,NA,1774725
"2020-12-30","IN","African_American",33445,666,NA,195671
"2020-12-30","IN","Latino",NA,NA,NA,NA
"2020-12-30","IN","Asian",6505,39,NA,47302
"2020-12-30","IN","AIAN",NA,NA,NA,NA
"2020-12-30","IN","NHPI",NA,NA,NA,NA
"2020-12-30","IN","Multiracial",NA,NA,NA,NA
"2020-12-30","IN","Other",56574,1048,NA,303963
"2020-12-30","IN","Unknown",79341,827,NA,301218
"2020-12-30","KS","Caucasian",152504,2110,5032,610263
"2020-12-30","KS","African_American",11033,149,583,45177
"2020-12-30","KS","Latino",NA,NA,NA,NA
"2020-12-30","KS","Asian",3931,34,135,17765
"2020-12-30","KS","AIAN",1471,21,54,5987
"2020-12-30","KS","NHPI",NA,NA,NA,NA
"2020-12-30","KS","Multiracial",NA,NA,NA,NA
"2020-12-30","KS","Other",13173,193,565,58979
"2020-12-30","KS","Unknown",40321,234,391,263061
"2020-12-30","KY","Caucasian",165180,2091,NA,NA
"2020-12-30","KY","African_American",18620,234,NA,NA
"2020-12-30","KY","Latino",NA,NA,NA,NA
"2020-12-30","KY","Asian",2524,17,NA,NA
"2020-12-30","KY","AIAN",531,2,NA,NA
"2020-12-30","KY","NHPI",173,1,NA,NA
"2020-12-30","KY","Multiracial",10117,64,NA,NA
"2020-12-30","KY","Other",NA,NA,NA,NA
"2020-12-30","KY","Unknown",68117,214,NA,NA
"2020-12-30","LA","Caucasian",142211,4223,NA,NA
"2020-12-30","LA","African_American",98126,3032,NA,NA
"2020-12-30","LA","Latino",NA,NA,NA,NA
"2020-12-30","LA","Asian",13874,50,NA,NA
"2020-12-30","LA","AIAN",916,7,NA,NA
"2020-12-30","LA","NHPI",332,8,NA,NA
"2020-12-30","LA","Multiracial",NA,NA,NA,NA
"2020-12-30","LA","Other",24333,27,NA,NA
"2020-12-30","LA","Unknown",31437,101,NA,NA
"2020-12-30","MA","Caucasian",114265,8921,7928,NA
"2020-12-30","MA","African_American",22277,869,1643,NA
"2020-12-30","MA","Latino",76481,861,2406,NA
"2020-12-30","MA","Asian",8298,296,545,NA
"2020-12-30","MA","AIAN",NA,NA,NA,NA
"2020-12-30","MA","NHPI",NA,NA,NA,NA
"2020-12-30","MA","Multiracial",NA,NA,NA,NA
"2020-12-30","MA","Other",25012,874,1433,NA
"2020-12-30","MA","Unknown",121585,517,1950,NA
"2020-12-30","MD","Caucasian",88461,2807,NA,NA
"2020-12-30","MD","African_American",79556,2154,NA,NA
"2020-12-30","MD","Latino",47657,570,NA,NA
"2020-12-30","MD","Asian",5701,193,NA,NA
"2020-12-30","MD","AIAN",NA,NA,NA,NA
"2020-12-30","MD","NHPI",NA,NA,NA,NA
"2020-12-30","MD","Multiracial",NA,NA,NA,NA
"2020-12-30","MD","Other",12596,58,NA,NA
"2020-12-30","MD","Unknown",39718,66,NA,NA
